,No.,material,Formula,CrystalSystem,bulk,shear,young,poisson,Hexp,best,y_cs,y_gap,y_den,y_csbg,y_csden,y_bgden,best-corrected-H4
66,67,mp-288,PtS,tetragonal,155.8,33.1,92.7,0.4,8.8,H3,H4,H1a,H4,H1a,H3,H3,H3
67,68,mp-32,Ge,cubic,59.3,45.6,108.8,0.19,8.8,H3,H1a,H4,H4,H1a,H1a,H4,H4
68,69,mp-553946,CoAsS,orthorhombic,134.2,95.7,232.0,0.21,8.8,H4,H2,H4,H4,H4,H4,H4,H2
69,70,mp-452,CoAs3,cubic,116.0,82.8,200.6,0.21,8.6,H4,H1a,H4,H4,H1a,H1a,H4,H2
70,71,mp-2715,CoAs2,monoclinic,131.8,89.0,217.8,0.22,8.0,H4,H4,H1a,H4,H4,H4,H4,H2
71,72,mp-4962,CoSbS,orthorhombic,112.8,74.7,183.6,0.23,7.8,H4,H2,H4,H4,H4,H4,H4,H2
72,73,mp-2534,GaAs,cubic,60.3,40.7,99.6,0.22,7.5,H5,H1a,H1a,H4,H5,H1a,H4,H4
73,74,mp-2652,Y2O3,cubic,137.7,61.6,160.8,0.31,7.5,H2,H1a,H2,H4,H2,H1a,H2,H4
74,75,mp-562,Sb2Pt,cubic,104.0,54.4,138.9,0.28,7.5,H1a,H1a,H4,H4,H1a,H1a,H4,H4
75,76,mp-22079,AsRh,orthorhombic,156.2,60.6,161.1,0.33,7.4,H2,H2,H4,H4,H4,H1a,H4,H2
76,77,mp-19306,Fe3O4,trigonal,176.0,64.3,171.9,0.34,7.4,H4,H2,H1a,H4,H2,H4,H4,H4
77,78,mp-2133,ZnO,hexagonal,129.7,41.3,111.9,0.36,7.2,H3,H4,H1a,H4,H1a,H4,H4,H3
78,79,mp-3830,NiAsS,cubic,109.0,58.6,149.0,0.27,7.1,H5,H1a,H4,H4,H1a,H1a,H4,H2
79,80,mp-19814,NiAs2,orthorhombic,113.8,54.4,140.5,0.29,6.9,H2,H2,H4,H4,H4,H4,H4,H2
80,81,mp-390,TiO2,tetragonal,179.3,54.6,148.8,0.36,6.6,H2,H4,H2,H2,H4,H2,H2,H2
81,82,mp-19417,TiFeO3,trigonal,166.5,47.3,129.5,0.37,6.3,H1a,H2,H2,H4,H2,H4,H2,H1a
82,83,mp-3679,NiSbS,cubic,95.7,50.7,129.2,0.27,6.1,H2,H1a,H4,H4,H1a,H1a,H4,H2
83,84,mp-504974,Fe2Mo3O8,hexagonal,140.8,42.1,114.8,0.36,6.0,H1a,H4,H1a,H4,H1a,H4,H4,H1a
84,85,mp-2210,ZrCu,cubic,117.0,30.3,83.7,0.38,5.8,H3,H1a,H4,H4,H1a,H1a,H4,H3
85,86,mp-14142,TiZnO3,trigonal,170.4,51.1,139.0,0.36,5.5,H4,H2,H2,H4,H2,H4,H2,H2
86,87,mp-20901,NiSe2,cubic,77.3,38.0,97.9,0.29,5.4,H1a,H1a,H4,H4,H1a,H1a,H4,H4
87,88,mp-20351,InP,cubic,59.7,31.5,80.3,0.28,5.4,H3,H1a,H1a,H4,H5,H1a,H4,H3
88,89,mp-22864,Bi2Pt,cubic,81.7,22.9,62.7,0.37,5.1,H3,H1a,H4,H4,H1a,H1a,H4,H3
